Position,Player,Salary,Expires,Years Left,Rank,Notes,,,,2022,2023,2024,2025,2026,2027,2028
QB,Joe Burrow,$21,2028,6,500,,Current Year,,Draft Picks,,,1,3,2,1,1
QB,Kenny Pickett,$1,2023,1,500,Rls by Sam ($1) / Rls by Andre ($1),Cap Room,,,,,2,4,4,2,2
RB,Alvin Kamara,$49,2024,2,500,,$13,,,,,1 (Caleb),1 (Tim),2 (Tim),3,3
RB,Miles Sanders,$23,2023,1,500,Ext by Andre ('22),,,,,,3 (Andrew),1 (Cameron),,4,4
RB,Dameon Pierce,$20,2025,3,500,,Years Remaining,,,,,1 (Trevor),2 (Cameron),,,
RB,Nick Chubb,$16,2024,2,500,Rls by Fagan ($23),8,,,,,,,,,
RB,Dalvin Cook,$3,2025,3,500,Rls by Andrew ($28),,,,,,,,,,
RB,Kareem Hunt,$1,2026,4,500,Rls by Sam ($4),Spots Available,,,,,,,,,
RB,Kenyan Drake,$1,2023,1,500,Cut by Trevor,1,,,,,,,,,
WR,Ja'Marr Chase,$68,2028,6,500,,,,Extensions Owned,2,1,2,1,1,,
WR,Gabe Davis,$29,2026,4,500,,Proj. Next Year,,,- - - Cap Hit - - -,,,,,,
WR,Jonathan Mingo,$11,2023,1,500,Rookie,Cap Room,,Cut Players,$3,$21,$4,$0,$0,$0,$0
WR,Romeo Doubs,$8,2024,2,500,,$81,,Will Dissly,$1,$1,,,,,
WR,Michael Gallup,$7,2025,3,500,,,,Darrell Henderson,$2,$1,,,,,
WR,Tyler Lockett,$7,2024,2,500,,Years Remaining,,Kenny Pickett,,$1,,,,,
WR,Rashee Rice,$7,2023,1,500,Rookie,24,,Juju Smith-Schuster,,$12,,,,,
WR,D.J. Chark,$4,2024,2,500,Rls by Sam ($5),,,Chase Edmonds,,$1,,,,,
WR,Robert Woods,$4,2023,1,500,,Spots Available,,Isaiah Spiller,,$1,$1,,,,
WR,Skyy Moore,$3,2027,5,500,Rls by Zach ($24),10,,Desmond Ridder,,$1,$1,,,,
WR,Donovan Peoples-Jones,$2,2026,4,500,,,,Jimmy Garoppolo,,$1,$1,,,,
WR,Jakobi Meyers,$2,2023,1,500,,,,Kadarius Toney,,$2,$1,,,,
WR,Allen Robinson,$1,2023,1,500,Rls by Sam/Cameron ($18/1),,,,,,,,,,
WR,Kalif Raymond,$1,2023,1,500,,,,,,,,,,,
TE,Cade Otton,$2,2026,4,500,,,,,,,,,,,
,Open,,,,,,,,,,,,,,,